hh_id,username,completed_time,hh_id__1,gender,age,lived_movedin,movedin_month,movedin_bc_hurricane,status,missing_month,left_month,left_b_p_hurricane,left_bc_hurricane,left_first,left_final,hh_mem_num
84,CENSORED,NA,2,1,31,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
84,CENSORED,NA,3,0,32,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
85,CENSORED,NA,0,1,74,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
85,CENSORED,NA,1,0,70,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
85,CENSORED,NA,2,1,43,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
86,CENSORED,NA,0,0,66,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
86,CENSORED,NA,1,1,15,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
87,CENSORED,NA,0,0,33,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
87,CENSORED,NA,1,0,14,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
87,CENSORED,NA,2,0,12,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
87,CENSORED,NA,3,0,4,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
88,CENSORED,NA,0,0,72,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
89,CENSORED,NA,0,1,62,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
89,CENSORED,NA,1,0,67,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
90,CENSORED,NA,0,0,36,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
90,CENSORED,NA,1,1,38,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
90,CENSORED,NA,2,1,10,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
90,CENSORED,NA,3,0,6,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
91,CENSORED,NA,0,0,62,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
91,CENSORED,NA,1,1,62,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
92,CENSORED,NA,0,0,70,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
93,CENSORED,NA,0,0,61,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
93,CENSORED,NA,1,1,60,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
93,CENSORED,NA,2,1,36,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
94,CENSORED,NA,0,0,52,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
94,CENSORED,NA,1,0,83,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
95,CENSORED,NA,0,1,78,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
95,CENSORED,NA,1,1,7,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
95,CENSORED,NA,2,0,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
95,CENSORED,NA,3,1,31,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
95,CENSORED,NA,4,0,31,1,NA,NA,1,NA,NA,NA,NA,NA,NA,5
96,CENSORED,NA,0,0,42,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
96,CENSORED,NA,1,0,23,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
96,CENSORED,NA,2,1,21,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
96,CENSORED,NA,3,1,21,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
97,CENSORED,NA,0,1,72,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
98,CENSORED,NA,0,0,45,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
98,CENSORED,NA,1,1,48,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
99,CENSORED,NA,0,0,54,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
99,CENSORED,NA,1,1,62,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
100,CENSORED,NA,0,0,68,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
100,CENSORED,NA,1,1,37,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
100,CENSORED,NA,2,1,74,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
101,CENSORED,NA,0,0,41,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
101,CENSORED,NA,1,1,34,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
101,CENSORED,NA,2,1,16,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
101,CENSORED,NA,3,1,11,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
102,CENSORED,NA,0,1,69,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
102,CENSORED,NA,1,0,65,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
103,CENSORED,NA,0,0,33,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
103,CENSORED,NA,1,1,35,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
103,CENSORED,NA,2,0,7,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
103,CENSORED,NA,3,0,8,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
104,CENSORED,NA,0,1,53,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
104,CENSORED,NA,1,0,48,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
104,CENSORED,NA,2,1,13,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
106,CENSORED,NA,0,1,69,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
106,CENSORED,NA,1,0,67,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
110,CENSORED,NA,0,1,27,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
110,CENSORED,NA,1,0,25,1,NA,NA,3,NA,10,NA,NA,4,4,2
110,CENSORED,NA,2,0,9,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
110,CENSORED,NA,3,0,8,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
110,CENSORED,NA,4,1,4,1,NA,NA,1,NA,NA,NA,NA,NA,NA,5
110,CENSORED,NA,5,1,5,1,NA,NA,3,NA,10,NA,NA,4,4,6
110,CENSORED,NA,6,1,3,1,NA,NA,3,NA,10,NA,NA,4,4,7
111,CENSORED,NA,0,0,78,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
112,CENSORED,NA,0,0,67,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
112,CENSORED,NA,1,1,67,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
113,CENSORED,NA,0,0,58,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
113,CENSORED,NA,1,1,60,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
114,CENSORED,NA,0,1,59,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
114,CENSORED,NA,1,0,17,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
114,CENSORED,NA,2,0,69,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
